Nombre,Codigo,Estado,Funcionalidad,Prioridad,Requisito
Recuperación de Contraseña (Flujo de Olvido),HU-003,Completado,Gestión de Acceso y Cuentas (Gesti%C3%B3n%20de%20Acceso%20y%20Cuentas%2023675267c23f80c7baf5c783b65e1b3e.html),3,Modificación de contraseña (../Dise%C3%B1o%20del%20Sistema/Requisitos/Modificaci%C3%B3n%20de%20contrase%C3%B1a%2023775267c23f805abf07c66125663a61.html)
Cambio de Contraseña (Autenticado),HU-004,Completado,Gestión de Acceso y Cuentas (Gesti%C3%B3n%20de%20Acceso%20y%20Cuentas%2023675267c23f80c7baf5c783b65e1b3e.html),4,Modificación de contraseña (../Dise%C3%B1o%20del%20Sistema/Requisitos/Modificaci%C3%B3n%20de%20contrase%C3%B1a%2023775267c23f805abf07c66125663a61.html)
Consultar la estructura organizacional para asignación y navegación,HU-005,Completado,Configuración Estratégica y Organizacional (Configuraci%C3%B3n%20Estrat%C3%A9gica%20y%20Organizacional%2023b75267c23f809697d5d70a1699f289.html),5,"Creación de usuarios (../Dise%C3%B1o%20del%20Sistema/Requisitos/Creaci%C3%B3n%20de%20usuarios%2023775267c23f80a7a543fbbe83b281d7.html), Modificación de usuarios (../Dise%C3%B1o%20del%20Sistema/Requisitos/Modificaci%C3%B3n%20de%20usuarios%2023775267c23f80f792c9ec08d4474a08.html), Gestión de Áreas y Subáreas (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20%C3%81reas%20y%20Sub%C3%A1reas%2023775267c23f80e7aa99e857ebb716ab.html), Gestión de Dirección (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20Direcci%C3%B3n%2023a75267c23f80b0865cfceb6a152b3e.html)"
Gestión de Proyectos del Plan de Desarrollo y sus Acciones,HU-006,Completado,Configuración Estratégica y Organizacional (Configuraci%C3%B3n%20Estrat%C3%A9gica%20y%20Organizacional%2023b75267c23f809697d5d70a1699f289.html),6,"Gestión de acciones (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20acciones%2023a75267c23f80e3b9ebd401547b6d0b.html), Gestión de proyectos (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20proyectos%2023a75267c23f80e6bb9efd9759ab6ac7.html)"
Gestión de Indicadores Estratégicos,HU-007,Completado,Configuración Estratégica y Organizacional (Configuraci%C3%B3n%20Estrat%C3%A9gica%20y%20Organizacional%2023b75267c23f809697d5d70a1699f289.html),7,Gestión de indicadores (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20indicadores%2023a75267c23f80558347e9ad30809dd2.html)
Creación y Edición de Actividades y su Programación de Fechas,HU-010,Completado,Ciclo de Vida de Actividades (Core del Negocio) (Ciclo%20de%20Vida%20de%20Actividades%20(Core%20del%20Negocio)%2029775267c23f80a3b639c6cbb3be2822.html),10,"Gestión de Actividades por Área  (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20Actividades%20por%20%C3%81rea%2023a75267c23f808faa8fd8512a87c0c0.html), Gestión de Actividades por Dirección (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20Actividades%20por%20Direcci%C3%B3n%2023775267c23f808080c3e38264b21f8d.html)"
Carga Masiva de Empleados desde Archivo Excel (.xlsx),HU-009,Completado,Administración de Participantes (Público Objetivo) (Administraci%C3%B3n%20de%20Participantes%20(P%C3%BAblico%20Objetivo)%2029775267c23f80fa94f2fda09c46e850.html),9,Gestión de Participantes Internos (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20Participantes%20Internos%2023a75267c23f803b9077efb203bc1b90.html)
Carga Masiva de Estudiantes desde Archivo Excel (.xlsx),HU-008,Completado,Administración de Participantes (Público Objetivo) (Administraci%C3%B3n%20de%20Participantes%20(P%C3%BAblico%20Objetivo)%2029775267c23f80fa94f2fda09c46e850.html),8,Gestión de Participantes Internos (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20Participantes%20Internos%2023a75267c23f803b9077efb203bc1b90.html)
Consulta de Actividades Programadas (por Contexto Organizacional),HU-011,Completado,Ciclo de Vida de Actividades (Core del Negocio) (Ciclo%20de%20Vida%20de%20Actividades%20(Core%20del%20Negocio)%2029775267c23f80a3b639c6cbb3be2822.html),11,"Gestión de Áreas y Subáreas (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20%C3%81reas%20y%20Sub%C3%A1reas%2023775267c23f80e7aa99e857ebb716ab.html), Gestión de Dirección (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20Direcci%C3%B3n%2023a75267c23f80b0865cfceb6a152b3e.html), Gestión de Actividades por Dirección (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20Actividades%20por%20Direcci%C3%B3n%2023775267c23f808080c3e38264b21f8d.html), Gestión de Actividades por Área  (../Dise%C3%B1o%20del%20Sistema/Requisitos/Gesti%C3%B3n%20de%20Actividades%20por%20%C3%81rea%2023a75267c23f808faa8fd8512a87c0c0.html)"
"Gestión de Cuentas de Usuario (Creación, Modificación y Deshabilitación)",HU-002,Completado,Gestión de Acceso y Cuentas (Gesti%C3%B3n%20de%20Acceso%20y%20Cuentas%2023675267c23f80c7baf5c783b65e1b3e.html),2,"Creación de usuarios (../Dise%C3%B1o%20del%20Sistema/Requisitos/Creaci%C3%B3n%20de%20usuarios%2023775267c23f80a7a543fbbe83b281d7.html), Modificación de usuarios (../Dise%C3%B1o%20del%20Sistema/Requisitos/Modificaci%C3%B3n%20de%20usuarios%2023775267c23f80f792c9ec08d4474a08.html), Eliminación o deshabilitación de usuarios (../Dise%C3%B1o%20del%20Sistema/Requisitos/Eliminaci%C3%B3n%20o%20deshabilitaci%C3%B3n%20de%20usuarios%2023775267c23f808298c4ef981eb68312.html)"
Visualización de Métricas de Participación en Dashboard,HU-015,Completado,Analítica y Explotación de Datos (Anal%C3%ADtica%20y%20Explotaci%C3%B3n%20de%20Datos%2029775267c23f803ba4aee9d27219a488.html),15,"Visualización de Gráficas por Dirección (../Dise%C3%B1o%20del%20Sistema/Requisitos/Visualizaci%C3%B3n%20de%20Gr%C3%A1ficas%20por%20Direcci%C3%B3n%2023a75267c23f80b48f11f18ce626173f.html), Visualización de Gráficas por Área (../Dise%C3%B1o%20del%20Sistema/Requisitos/Visualizaci%C3%B3n%20de%20Gr%C3%A1ficas%20por%20%C3%81rea%2023a75267c23f80cab981fd901cd4fd87.html), Filtrado de Datos de Gráficas (../Dise%C3%B1o%20del%20Sistema/Requisitos/Filtrado%20de%20Datos%20de%20Gr%C3%A1ficas%2023a75267c23f8098b74dceee66b95696.html)"
Autenticación de Usuarios y Cierre de Sesión,HU-001,Completado,Gestión de Acceso y Cuentas (Gesti%C3%B3n%20de%20Acceso%20y%20Cuentas%2023675267c23f80c7baf5c783b65e1b3e.html),1,Inicio de sesión (../Dise%C3%B1o%20del%20Sistema/Requisitos/Inicio%20de%20sesi%C3%B3n%2023775267c23f80c388dbf10ee4976471.html)
