Nombre,Asignado a,Código,Estado,Historia
Backend: Implementación de API de Autenticación (JWT),DANIEL FELIPE GARCIA QUICENO,S-001,Completado,Autenticación de Usuarios y Cierre de Sesión (Home/Historias/Autenticaci%C3%B3n%20de%20Usuarios%20y%20Cierre%20de%20Sesi%C3%B3n%2029775267c23f80a29091e685e643851d.html)
Backend: Implementación de API de Recuperación de Contraseña,DANIEL FELIPE GARCIA QUICENO,S-005,Completado,Recuperación de Contraseña (Flujo de Olvido) (Home/Historias/Recuperaci%C3%B3n%20de%20Contrase%C3%B1a%20(Flujo%20de%20Olvido)%2023675267c23f80eabc7fdd2af61c26bb.html)
Backend: Implementación de API de Consulta de Estructura Organizacional,DANIEL FELIPE GARCIA QUICENO,S-009,Completado,Consultar la estructura organizacional para asignación y navegación (Home/Historias/Consultar%20la%20estructura%20organizacional%20para%20asigna%2029775267c23f804dab3cf2d40164e773.html)
Backend: Implementación de Endpoint de Cambio de Contraseña (Autenticado),DANIEL FELIPE GARCIA QUICENO,S-007,Completado,Cambio de Contraseña (Autenticado) (Home/Historias/Cambio%20de%20Contrase%C3%B1a%20(Autenticado)%2023a75267c23f80a4a610c8144b81b9c4.html)
Backend: Implementación de API de Registro de Asistencia (RFID/Doc/Externo),DANIEL FELIPE GARCIA QUICENO,S-023,Completado,Registro de Asistencia en Vivo (Kiosco RFID/Documento) (Home/Historias/Registro%20de%20Asistencia%20en%20Vivo%20(Kiosco%20RFID%20Docume%2029775267c23f807ca2fbde33d0523ead.html)
Backend: Implementación de Generador de Reportes Excel (vía API),DANIEL FELIPE GARCIA QUICENO,S-027,Completado,Generación de Reporte Detallado de Asistencia por Contexto Organizacional (Home/Historias/Generaci%C3%B3n%20de%20Reporte%20Detallado%20de%20Asistencia%20por%20%2029775267c23f803b9b98f389e3933e72.html)
Backend: Implementación de Endpoint de Finalización de Actividad,DANIEL FELIPE GARCIA QUICENO,S-025,Completado,Finalización y Cierre de Registro de Actividad (Home/Historias/Finalizaci%C3%B3n%20y%20Cierre%20de%20Registro%20de%20Actividad%2029775267c23f80c8b048f8bcb72734ff.html)
Backend: Implementación de API de Consulta de Actividades (con filtro de rol),DANIEL FELIPE GARCIA QUICENO,S-021,Completado,Consulta de Actividades Programadas (por Contexto Organizacional) (Home/Historias/Consulta%20de%20Actividades%20Programadas%20(por%20Contexto%20%2029775267c23f805ca159f39d41afffa8.html)
Backend: Implementación de API CRUD de Usuarios,DANIEL FELIPE GARCIA QUICENO,S-003,Completado,"Gestión de Cuentas de Usuario (Creación, Modificación y Deshabilitación) (Home/Historias/Gesti%C3%B3n%20de%20Cuentas%20de%20Usuario%20(Creaci%C3%B3n,%20Modificac%2029775267c23f809a9f78c9e6852fe547.html)"
Backend: Implementación de Lógica de Carga (Excel) de Estudiantes,DANIEL FELIPE GARCIA QUICENO,S-015,Completado,Carga Masiva de Estudiantes desde Archivo Excel (.xlsx) (Home/Historias/Carga%20Masiva%20de%20Estudiantes%20desde%20Archivo%20Excel%20(%20%2029775267c23f80c78363c453861325be.html)
